code	category
0008274000078	plant-based-beverages
0008274000078	plant-based-foods-and-beverages
0008274000078	fruit-sodas
0008274000078	sodas-with-exotic-fruits
0008274000078	sodas
0008274000078	fruit-based-beverages
0008274000078	sugared-beverages
0008274000078	carbonated-drinks
0008295616241	vinegars
0008295616241	balsamic-vinegars-of-modena
0008295616241	balsamic-vinegars
0008361860110	beverages
0008361860110	non-alcoholic-beverages
0008361860202	beverages
0008361860202	non-alcoholic-beverages
0008421369416	viennoiseries
0008421369416	brioches
0008421369416	sugary-snacks
00084222	meals
00084222	pasta-dishes
00084222	refrigerated-meals
00084222	prepared-salads
00084222	refrigerated-foods
00084222	pasta-salads
0008563994606	macarons
0008563994606	sugary-snacks
0008563994606	pastries
0008563994606	desserts
0008563994606	biscuits-and-cakes
0008563994613	macarons
0008563994613	sugary-snacks
0008563994613	pastries
0008563994613	desserts
0008563994613	biscuits-and-cakes
0008563994620	macarons
0008563994620	sugary-snacks
0008563994620	pastries
0008563994620	desserts
0008563994620	biscuits-and-cakes
00086929	meals
00086929	frozen-foods
00086929	frozen-soups
00086929	soups
00086929	frozen-ready-made-meals
00086974	meals
00086974	coleslaw
00086974	starters
00088749	gelified-candies
00088749	candies
00088749	confectioneries
00088749	sugary-snacks
00088824	gelified-candies
00088824	candies
00088824	confectioneries
00088824	sugary-snacks
00088862	plant-based-foods-and-beverages
00088862	cereals-and-potatoes
00088862	cereals-and-their-products
00088862	flours
00088862	plant-based-foods
00088886	flours
00088886	plant-based-foods
00088886	plant-based-foods-and-beverages
00088909	beverages
00088909	non-sugared-beverages
00088909	non-alcoholic-beverages
00088978	beverages
00088978	coconut-waters
00088978	plant-based-beverages
00088978	plant-based-foods-and-beverages
00088978	non-alcoholic-beverages
00088978	non-sugared-beverages
00089	cocoa-and-chocolate-powders
00089	chocolates
00089	sugary-snacks
00089	cocoa-powders
00089227	sauces
00089227	groceries
00089227	tomato-sauces
00089227	meat-based-products
00089227	meat-based-sauces
00089227	pasta-sauces
00089739	fats
0009	dried-products
0009	dried-fruits
0009	plant-based-foods-and-beverages
0009	dried-plant-based-foods
0009	fruits-and-vegetables-based-foods
0009	plant-based-foods
0009	fruits-based-foods
00090100	pork-meals
00090100	meals
00090100	meals-with-meat
00090100	meat-based-products
00090100	microwave-meals
00090780	sauces
00090780	groceries
00090780	pasta-sauces
00091244	meals
00091244	prepared-lasagne
00091244	pasta-dishes
00091244	refrigerated-meals
00091244	vegetarian-lasagne
00091244	refrigerated-foods
00091312	sandwiches
0009138378043	candies
0009138378043	confectioneries
0009138378043	sugary-snacks
0009138378043	lollipops
00091640	sauces
00091640	condiments
00091640	groceries
00091640	mustards
0009300003346	pickles
0009300128896	pickles
0009300128896	canned-foods
00093910	meals
00093910	prepared-lasagne
00093910	bolognese-lasagne
00093910	pasta-dishes
00093910	refrigerated-meals
00093910	refrigerated-foods
00093910	microwave-meals
0009439002579	beverages
0009439002579	alcoholic-beverages
0009439002579	beers
0009542005979	sugary-snacks
0009542005979	chocolates
0009542009984	sugary-snacks
0009542009984	chocolates
0009542018054	sugary-snacks
0009542018054	milk-chocolates
0009542018054	chocolates
0009542018061	sugary-snacks
0009542018061	milk-chocolates
